DrugName,binding_energy,TPSA,molecular_weight,XLogPs-AA,HBD,HBA,n_ROTB,n_benzene_ring,n_single_bond,n_double_bond,n_h,n_c,n_n,n_o,n_f
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(C)c(F)c3)cc2C)c(O)c1,-9.0,37.3,388.482,6.6365,1,2,10,3,36,2,25,26,0,2,1
COCCOCCCc1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(C)c1,-6.8,55.76,396.527,5.11758,1,4,16,2,48,2,32,25,0,4,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C3CC(=O)C4=C(CC=CO4)C3)cc2C)c(O)c1,-9.8,63.6,428.528,6.15658,1,4,9,2,46,5,28,28,0,4,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C=CC=C(C(=O)O)c3ccccc3)cc2C)c(O)c1,-9.8,74.6,452.55,6.70338,2,4,12,3,41,5,28,30,0,4,0
Cc1cc(C)c(C=CC(=O)c2c(C)cc(C(C)C)cc2O)c(C)c1,-7.9,37.3,322.448,5.64538,1,2,11,2,37,2,26,22,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C=CC#N)cc2C)c(O)c1,-8.2,61.09,331.415,5.05876,1,3,9,2,31,3,21,22,1,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccc(C)oc3=O)cc2C)c(O)c1,-9.3,67.51,388.463,5.4506,1,4,10,3,34,3,24,25,0,4,0
CC=CC=Cc1cc(C=Cc2cc(C)c(C=CC(=O)c3c(C)cc(C)cc3O)c(C)c2)cc(C#N)c1O,-9.8,81.32,489.615,7.85896,2,4,14,3,46,5,31,33,1,3,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(C)cc2-c2ccccc2)c(O)c1,-8.5,37.3,356.465,6.18898,1,2,9,3,33,2,24,25,0,2,0
C=CCc1cc(C)c(C=CC(=O)c2c(C)cc(C)cc2O)c(C)c1,-8.2,37.3,320.432,5.25048,1,2,10,2,34,3,24,22,0,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(N3CC4C=CC4C3)cc2C)c(O)c1,-8.7,40.54,373.496,5.14418,1,3,9,2,43,3,27,25,1,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3ccccc3C#N)cc2C)c(O)c1,-8.5,61.09,381.475,6.06066,1,3,9,3,33,2,23,26,1,2,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3cc(C=CC(=O)O)ccc3F)cc2C)c(O)c1,-8.7,74.6,444.502,6.42588,2,4,11,3,38,4,25,28,0,4,1
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3cccc([N+](=O)[O-])c3)cc2C)c(O)c1,-9.9,80.44,401.462,6.09718,1,4,10,3,34,3,23,25,1,4,0
Cc1cc(C)c(C(=O)C=Cc2c(C)cc(-c3cccc(C#N)c3)cc2C)c(O)c1,-10.0,61.09,381.475,6.06066,1,3,9,3,33,2,23,26,1,2,0
